Simulation 13, attempts 4, Success
Simulation 11883, attempts 2, Success
Simulation 11891, attempts 1, Success
Simulation 11898, attempts 1, Success
Simulation 11904, attempts 1, Success
Simulation 11920, attempts 1, Success
Simulation 11924, attempts 1, Success
Simulation 11930, attempts 1, Success
Simulation 11948, attempts 1, Success
Simulation 11976, attempts 1, Success
Simulation 11999, attempts 1, Success
Simulation 12000, attempts 1, Success
Simulation 12005, attempts 1, Success
Simulation 12012, attempts 1, Success
Simulation 12030, attempts 1, Success
Simulation 12040, attempts 2, Success
Simulation 12046, attempts 1, Success
Simulation 12050, attempts 1, Success
Simulation 12051, attempts 1, Success
Simulation 12059, attempts 1, Success
Simulation 12093, attempts 1, Success
Simulation 12117, attempts 1, Success
Simulation 12143, attempts 1, Success
Simulation 12156, attempts 1, Success
Simulation 12193, attempts 1, Success
Simulation 12227, attempts 1, Success
Simulation 12255, attempts 1, Success
Simulation 12272, attempts 1, Success
Simulation 12281, attempts 1, Success
Simulation 12288, attempts 1, Success
Simulation 12313, attempts 1, Success
Simulation 12319, attempts 1, Success
Simulation 12339, attempts 1, Success
Simulation 12364, attempts 1, Success
Simulation 12367, attempts 1, Success
Simulation 12369, attempts 1, Success
Simulation 12392, attempts 2, Success
Simulation 12401, attempts 2, Success
Simulation 12408, attempts 1, Success
Simulation 12424, attempts 1, Success
Simulation 12464, attempts 1, Success
Simulation 12522, attempts 1, Success
Simulation 12526, attempts 1, Success
Simulation 12537, attempts 1, Success
Simulation 12541, attempts 1, Success
Simulation 12545, attempts 2, Success
Simulation 12586, attempts 1, Success
Simulation 12598, attempts 1, Success
Simulation 12600, attempts 2, Success
Simulation 12632, attempts 1, Success
Simulation 12642, attempts 1, Success
Simulation 12693, attempts 1, Success
Simulation 12714, attempts 1, Success
Simulation 12724, attempts 1, Success
Simulation 12728, attempts 2, Success
Simulation 12754, attempts 1, Success
Simulation 12758, attempts 1, Success
Simulation 12765, attempts 1, Success
Simulation 12766, attempts 1, Success
Simulation 12772, attempts 1, Success
Simulation 12773, attempts 1, Success
Simulation 12781, attempts 1, Success
Simulation 12782, attempts 1, Success
Simulation 12819, attempts 1, Success
Simulation 12832, attempts 1, Success
Simulation 12833, attempts 1, Success
Simulation 12841, attempts 1, Success
Simulation 12842, attempts 1, Success
Simulation 12845, attempts 1, Success
Simulation 12870, attempts 2, Success
Simulation 12893, attempts 1, Success
Simulation 12900, attempts 1, Success
Simulation 12912, attempts 1, Success
Simulation 12930, attempts 1, Success
Simulation 12936, attempts 1, Success
Simulation 12940, attempts 1, Success
Simulation 12965, attempts 1, Success
Simulation 12974, attempts 2, Success
Simulation 12982, attempts 2, Success
Simulation 13012, attempts 1, Success
Simulation 13023, attempts 1, Success
Simulation 13026, attempts 1, Success
Simulation 13086, attempts 1, Success
Simulation 13088, attempts 1, Success
Simulation 13103, attempts 1, Success
Simulation 13112, attempts 1, Success
Simulation 13126, attempts 1, Success
Simulation 13145, attempts 1, Success
Simulation 13154, attempts 1, Success
Simulation 13155, attempts 1, Success
Simulation 13159, attempts 1, Success
Simulation 13169, attempts 1, Success
Simulation 13177, attempts 1, Success
Simulation 13202, attempts 1, Success
Simulation 13214, attempts 2, Success
Simulation 13237, attempts 2, Success
Simulation 13247, attempts 1, Success
Simulation 13278, attempts 1, Success
Simulation 13284, attempts 1, Success
Simulation 13288, attempts 1, Success
Simulation 13313, attempts 1, Success
Simulation 13325, attempts 4, Success
Simulation 13327, attempts 3, Success
Simulation 13358, attempts 2, Success
Simulation 13369, attempts 1, Success
Simulation 13371, attempts 2, Success
Simulation 13400, attempts 1, Success
Simulation 13410, attempts 1, Success
Simulation 13412, attempts 1, Success
Simulation 13422, attempts 1, Success
Simulation 13424, attempts 1, Success
Simulation 13433, attempts 3, Success
Simulation 13440, attempts 1, Success
Simulation 13443, attempts 1, Success
Simulation 13496, attempts 1, Success
Simulation 13503, attempts 3, Success
Simulation 13518, attempts 1, Success
Simulation 13519, attempts 1, Success
Simulation 13540, attempts 1, Success
Simulation 13550, attempts 1, Success
Simulation 13593, attempts 1, Success
Simulation 13594, attempts 2, Success
Simulation 13618, attempts 1, Success
Simulation 13633, attempts 1, Success
Simulation 13638, attempts 1, Success
Simulation 13639, attempts 1, Success
Simulation 13646, attempts 1, Success
Simulation 13667, attempts 1, Success
Simulation 13704, attempts 1, Success
Simulation 13739, attempts 1, Success
Simulation 13744, attempts 1, Success
Simulation 13775, attempts 1, Success
Simulation 13786, attempts 1, Success
Simulation 13789, attempts 1, Success
Simulation 13794, attempts 5, Success
Simulation 13812, attempts 2, Success
Simulation 13813, attempts 1, Success
Simulation 13836, attempts 1, Success
Simulation 13850, attempts 1, Success
Simulation 13853, attempts 1, Success
Simulation 13860, attempts 1, Success
Simulation 13901, attempts 1, Success
Simulation 13903, attempts 1, Success
Simulation 13917, attempts 1, Success
Simulation 13924, attempts 1, Success
Simulation 13929, attempts 1, Success
Simulation 13931, attempts 1, Success
Simulation 13942, attempts 1, Success
Simulation 13947, attempts 1, Success
Simulation 14008, attempts 1, Success
Simulation 14020, attempts 1, Success
Simulation 14021, attempts 1, Success
Simulation 14048, attempts 1, Success
Simulation 14056, attempts 1, Success
Simulation 14066, attempts 8, Miss
Simulation 14071, attempts 1, Success
Simulation 14076, attempts 3, Success
Simulation 14092, attempts 3, Success
Simulation 14146, attempts 1, Success
Simulation 14157, attempts 2, Success
Simulation 14194, attempts 2, Success
Simulation 14203, attempts 1, Success
Simulation 14209, attempts 1, Success
Simulation 14231, attempts 1, Success
Simulation 14236, attempts 1, Success
Simulation 14252, attempts 1, Success
Simulation 14256, attempts 1, Success
Simulation 14262, attempts 1, Success
Simulation 14330, attempts 1, Success
Simulation 14340, attempts 1, Success
Simulation 14349, attempts 1, Success
Simulation 14406, attempts 1, Success
Simulation 14420, attempts 1, Success
Simulation 14431, attempts 1, Success
